	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
16_78344489_A_C_b37	-0.0722124	-0.020400787	0.058570273	0.071082555	-0.04689273	-0.018574698	-0.0013535358	-0.11287436	-0.088537194	-0.038798124	0.0051286444	0.01331972	0.07535075	0.115657486	-0.1485857	-0.06301614	0.1258065	-0.06370061	-0.0890187	-0.029518018	-0.097335905	0.046650864	0.20617336	0.16185345	-0.08680518	-0.010981795	-0.07964043	0.030021962	0.10799066	-0.31406894	0.02555897	0.0020406619	-0.095337264	-0.025351062	0.104165696	0.0037670806	-0.086618744	0.030746393	-0.065750524	-0.0699999	-0.008711095	0.02583202	-0.14939007	-0.06344736	-0.0369751	0.0076120906	0.017028905	-0.09406303	-0.045620605	0.15234914	-0.025120746	-0.020318266	-0.013152838	0.06194509	-0.080559015	-0.09743226	-0.05013142	-0.14898543	0.08402664	0.0646446	0.03839614	-0.040076833	0.03677817	-0.09622967
5_96232286_C_T_b37	0.037058726	0.0065739267	0.009914592	0.026799448	-0.020132579	-0.0032309	0.0020217597	-0.0286965	0.00916886	-0.0076982765	-0.015069234	0.030374255	0.008514982	0.0038827658	-0.0038006902	-0.028864674	0.00619613	0.006160043	-0.0041492805	0.0018770341	0.004548069	-0.011460904	-0.0041463226	0.04376676	0.03541897	0.020080004	-0.017652512	-0.0023123585	-0.0075171664	-0.034625795	0.028380442	0.010572199	0.027543899	-0.0053432286	-0.00015983288	0.02114383	-0.026348352	-0.03686718	0.002365496	0.034251653	-0.00222338	0.002096735	-0.012692668	-0.025142357	-0.011397774	-0.007605415	-0.015827201	0.016018406	0.009461418	-0.26894224	-0.010936469	0.023092642	-0.010238908	0.020253219	-0.045132365	0.024753148	0.00028665736	0.023104772	0.019859016	0.0018942412	-0.042593516	-0.003218092	0.009406086	-0.045139875
15_78236704_G_A_b37	-0.0036201812	0.03876186	-0.16705857	0.07700138	0.030972052	-0.04962592	0.038365304	-0.089472555	-0.18757373	-0.010796795	0.010104522	0.0978767	0.034494095	-0.050020203	-0.012732588	0.011296768	-0.01793589	-0.026624877	-0.034438867	-0.027471595	-0.008781195	0.04360345	0.13401309	-0.044756882	0.022798361	0.017060742	-0.059116334	0.08504233	0.007831775	0.31882524	-0.22829372	0.025976297	0.07931845	-0.0065509975	0.023760566	-0.004581444	-0.011129546	-0.055752195	-0.028751817	-0.15053514	0.001479676	0.07004538	0.06683001	-0.01412458	-0.019710489	0.043261133	-0.046891283	0.10942606	-0.054613337	0.8519749	-0.0022150688	0.06833054	-0.024674788	0.010136802	-0.002386272	-0.06130533	-0.02025614	-0.06178975	0.03697358	0.01529078	0.056803066	-0.029764656	-0.06426974	-0.10439527
19_37136756_A_G_b37	0.019006785	-0.00916631	-0.07110749	-0.010545023	-0.031744376	-0.02126937	0.023071228	-0.02969966	-0.03912151	-0.015550926	0.013139868	0.036392815	-0.017611431	-0.020975389	0.025146388	-0.037936207	0.017411336	-0.004607971	-0.003870763	-0.0070119686	0.017056558	-0.028875519	-0.009125993	0.036209457	0.008710276	0.010264543	0.006640166	-0.04184267	-0.019048236	0.07606117	-0.019943565	0.015270408	0.032757927	-0.004656017	0.0035285787	0.034510083	0.0067475215	-0.040853977	0.026734116	-0.025010426	0.011721974	-0.014082432	0.027084224	-0.02273728	-0.012509593	0.025826816	-0.0057167	0.032574713	-0.002925299	-0.6986435	0.005509816	0.039186645	-0.013545841	-0.011681737	0.003803566	-0.0035649445	-0.007617902	0.020154832	-0.008701839	0.019352788	-0.019205526	-0.013513729	-0.008677412	-0.014145184
14_20918598_A_C_b37	0.017618977	-0.015043679	-0.03753066	-0.029147875	-0.02686359	-0.0070497105	0.013671212	-0.019995915	-0.052549586	-0.02912182	-0.004255521	0.029920444	-0.014077086	-0.023962118	0.008222818	-0.045705877	0.0068493076	0.016121473	-0.006936539	0.0049375445	0.039935526	-0.011805411	-0.008604951	0.046639018	0.007602129	-0.023873542	0.006117925	-0.018154984	-0.027930692	0.057949092	-0.012051702	0.04472266	0.01925484	0.004278362	-0.014972521	0.026237529	0.0047493447	-0.015435932	0.04528888	-0.022929955	0.0076431315	-0.031688713	0.041498914	-0.026723936	-0.0030006282	0.010707986	0.0093863085	0.026412316	-0.0007145107	-0.72616774	0.019203193	0.062373187	-0.008590043	0.00028950628	0.013972394	0.022997096	-0.013356429	0.026477458	-0.023544587	-0.016267583	-0.011968948	0.0105406195	0.018238574	-0.0043984987
1_147229563_G_A_b37	0.030144904	0.029047014	-0.10602508	0.009282842	-0.017514527	-0.015993359	-0.013459742	-0.030687366	-0.028516121	-0.009446533	0.0063225497	0.04777788	-0.013446411	-0.008182071	0.02397202	-0.023493934	-0.003588125	-0.008080659	-0.018668737	-0.010812342	0.008091211	-0.018164404	0.012295499	-0.0013941824	0.04551598	0.0017631939	-0.020211905	-0.010588868	-0.031611636	0.1497606	-0.04858569	0.0086078085	0.027214035	-0.010041654	0.0041034934	0.037637424	-0.0016237954	-0.042074874	-0.0026643872	-0.02828547	0.0005321596	0.020564787	0.041363858	-0.017786413	-0.00792353	0.027867947	-0.02682807	0.06527702	-0.0091189	-0.39626402	-0.009353913	0.04721905	-0.0039638206	-0.0070081213	-0.008625202	-0.0032371674	-0.023237906	0.04482031	0.0114055425	0.01956513	-0.024845116	-0.022935763	-0.011315871	-0.055791426
1_147172719_G_C_b37	-0.0416545	0.009736903	-0.020596506	0.09050011	-0.036380332	-0.022574434	0.014098424	-0.14496306	-0.14261597	-0.026338873	0.0007843245	0.043252587	0.07093332	0.07207574	-0.1304825	-0.07719361	0.068297565	-0.056013256	-0.09041321	-0.06687789	-0.064539194	0.026388355	0.22416598	0.09088087	-0.036562797	0.008745602	-0.08428949	0.06404838	0.064820714	-0.13532557	-0.0822342	0.015674256	-0.080544256	-0.05296153	0.0512406	-0.004046362	-0.07824714	0.001646474	-0.080970764	-0.1479803	-0.017511595	0.064179555	-0.09704531	-0.06929404	-0.028474359	0.028398454	0.0072152577	-0.05845207	-0.061857253	0.22552204	-0.032531727	0.01909234	-0.04707037	0.049058035	-0.055636007	-0.11408801	-0.036269378	-0.15815747	0.112443864	0.062046066	0.05200091	-0.014423065	0.012314085	-0.09918927
18_12991919_A_ATG_b37	-0.039670434	-0.0847857	0.11400594	0.0011138096	-0.09292583	0.009044859	-0.016757842	-0.08522512	-0.03326471	-0.05145365	-0.011438717	-0.017440557	0.0661525	0.10523673	-0.109734334	-0.084877454	0.104221895	-0.03569819	-0.072037086	0.03934344	-0.110820904	0.0028422289	0.1570048	0.27869767	-0.17938812	-0.004346043	-0.09799064	0.020931944	0.06707614	-0.39833137	-0.0011945288	0.043797724	-0.0009334162	-0.027561173	0.11082611	-0.031071741	0.0424108	0.12179069	-0.050968748	-0.09637974	0.028779184	-0.10348401	-0.17224829	-0.064832605	-0.032387532	0.04078921	-0.004634116	-0.121593654	0.018217623	0.06824052	-0.033407208	0.012042988	-0.018979497	0.07166194	-0.0046893917	-0.14110999	-0.03573552	-0.08711689	-0.04393012	0.13399999	0.030138582	0.0954543	0.03829088	-0.101457715
8_8895470_C_T_b37	0.017193552	-0.019283885	0.12940313	0.012487456	-0.027384043	0.0030972243	-0.017970808	-0.04200821	0.03803128	-0.067620784	-0.028844435	0.00855992	0.06655022	0.07456501	-0.05122114	-0.0502265	0.08168517	-0.0040955003	-0.011203114	0.0018837117	-0.027587162	0.006152697	0.025029138	0.11803907	-0.0034570284	0.014214537	-0.030799653	0.007446902	0.015537448	-0.27543604	0.11613584	0.019517653	-0.01961407	0.020779192	0.030972796	0.0003458131	-0.06407014	-0.0025310125	-0.007074751	0.07375516	-0.009162188	0.014411807	-0.100466795	-0.018245675	0.003238339	-0.030576762	0.015043657	-0.04423611	0.026573643	0.114963174	0.013009571	-0.02628836	-0.009071261	0.0471895	-0.05991214	0.02600395	0.017684758	-0.03311958	0.05266505	-0.00931509	-0.034443796	-0.03173167	0.045646995	-0.051220912
17_19410155_A_C_b37	0.042226803	0.026011692	-0.034675054	0.029544413	0.022334564	-0.015519356	-0.0076444484	-0.001285838	0.0078276135	-0.01608487	0.0037828856	0.032181427	-0.002237603	-0.016855642	0.03030929	-0.015422851	-0.01702478	0.007753151	0.0034478828	0.020533085	0.017544694	-0.02294299	-0.039714113	-0.011448909	0.0788604	0.0059997505	-0.016280085	-0.02958749	-0.038489304	0.11661285	-0.012148736	0.007170763	0.056700796	0.014316872	-0.023450408	0.019300468	-0.020352352	-0.05336655	0.012782754	0.05245497	0.0069088098	0.019484632	0.05330327	0.0037648156	0.024322957	0.002491068	-0.017064078	0.049361542	0.021473348	-0.2310285	0.008801963	0.027790803	-0.018751599	0.00520321	-0.01712944	0.051078603	0.012391921	0.051458366	-0.0014604628	-0.020440783	-0.06175015	-0.04631358	-0.007354915	-0.026060509
